"","UniID","mom","ID","temp","active","instar","time","duration","mgain","rgrlog","rgrarith","time.per","dur","durbin"
"497","41.8.55","8",55,41,"y",5,NA,6,10.4,0.018455274584467,1.73333333333333,"current",6,6
"498","41.8.55","8",55,41,"y",5,NA,24.0166666666667,-0.350000000000001,-0.000177609566148678,-0.0145732130464955,"current",24.0166666666667,24
"499","41.8.56","8",56,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"500","41.8.56","8",56,41,"y",5,NA,6,6.6,0.00794886873499501,1.1,"current",6,6
"501","41.8.56","8",56,41,"y",5,NA,24.0166666666667,-4.9,-0.00162960636863705,-0.204024982650937,"current",24.0166666666667,24
"502","41.8.57","8",57,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"503","41.8.57","8",57,41,"y",5,NA,6,1.29000000000001,0.00260302094683647,0.215000000000001,"current",6,6
"504","41.8.57","8",57,41,"n",5,NA,24.0166666666667,-1.98999999999999,-0.00105142101606534,-0.082859125607217,"current",24.0166666666667,24
"505","41.8.58","8",58,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"506","41.8.58","8",58,41,"y",5,NA,18,11.17,0.00568864730319758,0.620555555555556,"current",18,NA
"507","41.8.58","8",58,41,"y",5,NA,36.0166666666667,-2.51,-0.000742866799949981,-0.0696899583526145,"current",36.0166666666667,NA
"508","41.8.59","8",59,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"509","41.8.59","8",59,41,"n",5,NA,18,-2.47,-0.00095052326748953,-0.137222222222222,"current",18,NA
"510","41.8.59","8",59,41,"y",5,NA,36.0166666666667,-11.63,-0.00242076571702637,-0.322906062008329,"current",36.0166666666667,NA
"511","11.64.1","64",1,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"512","11.64.1","64",1,11,"y",4,NA,6,12.64,0.0522629252928475,2.10666666666667,"current",6,6
"513","11.64.1","64",1,11,"y",4,NA,24,4.86,0.00617937312218803,0.2025,"current",24,24
"514","11.64.2","64",2,11,"y",4,NA,0,0,NA,NA,"current",0,NA
